시설ID,시도,시군구,품목명,품종,재배면적,시설유형,재배형태,단동/연동 구분,수집일,외부온도,외부습도,외부 일사량,외부풍향,외부풍속,외부강우,강우감지,내부온도,내부습도,내부CO2,내부 일사량,토양EC,토양PH,지온,지습,(양액)총배액,(양액)총급액,(양액)배액PH,(양액)공급PH,(양액)배액EC,(양액)공급EC,(양액)지온,(양액)지습,배기팬작동여부,CO2발생장치작동여부,보광등작동여부,난방기작동상태,난방기작동여부,유동팬작동상태,유동팬작동여부,보온커튼작동상태,보온커튼작동여부,차광커튼작동상태,차광커튼작동여부,우측삼중측창 작동여부,좌측삼중측창 작동여부,우측이중측창 작동여부,좌측이중측창 작동여부,우측일중측창 개도,우측일중측창 온도폭,우측일중측창 설정온도,우측일중측창 작동여부,우측일중측창 작동상태,좌측일중측창 개도,좌측일중측창 온도폭,좌측일중측창 설정온도,좌측일중측창 작동여부,좌측일중측창 작동상태,측창,우측이중천창 작동여부,좌측이중천창 작동여부,우측일중천창 개도,우측일중천창 온도폭,우측일중천창 설정온도,우측일중천창 작동여부,우측일중천창 작동상태,좌측일중천창 개도,좌측일중천창 온도폭,좌측일중천창 설정온도,좌측일중천창 작동여부,좌측일중천창 작동상태,천창,조사일,주차,생장길이,화방높이,줄기직경,엽장,엽폭,엽수,개화군,착과군,열매수,최종화방차수
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 15:00:00,8,,443,0,5,,0,15,28,316,,,,22,,,,,,,,,96,,,,,,,,,,100,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,5,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 16:00:00,7,,250,0,3,,0,13,29,311,,,,19,,,,,,,,,96,,,,,,,,,,100,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,6,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 17:00:00,5,,33,0,3,,0,11,30,299,,,,17,,,,,,,,,96,,,,,,,,,,49,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 18:00:00,2,,0,0,1,,0,10,31,357,,,,15,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 19:00:00,1,,0,0,0,,0,10,31,412,,,,14,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 20:00:00,0,,0,0,0,,0,9,30,454,,,,14,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 21:00:00,0,,0,0,1,,0,9,31,492,,,,14,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 22:00:00,0,,0,0,3,,0,9,31,529,,,,14,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-15 23:00:00,-1,,0,0,4,,0,9,31,561,,,,14,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020725_01,경상북도,고령군,토마토,,"3,888",비닐,수경,연동,2021-02-16 00:00:00,-1,,0,0,3,,0,9,31,584,,,,13,,,,,,,,,96,,,,,,,,,,0,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
