지역,평균 : 1.5M 평균 습도(%),평균 : 10CM 일 토양수분(%),평균 : 20CM 일 토양수분(%),평균 : 30CM 일 토양수분(%),평균 : 50CM 일 토양수분(%),평균 : 1.5M 평균 기온(°C),평균 : 평균 지면온도(°C),평균 : 5CM 평균 지중온도(°C),평균 : 30CM 평균 지중온도(°C),평균 : 0.5M 일 지중온도(°C),평균 : 1.0M 일 지중온도(°C),최저기온(°C),최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),일조율(%),평균 풍속(m/s),합계 : 10a당 생산량 (kg)
경기북부,73.4,19.5,32.6,36.2,36.6,16.8,18.1,18,18,19,19.4,-21.7,35.1,1037.9,100,76.3,55.8,1.4,20806
인천광역시,73.2,11.3,16.2,15.8,10.5,13.7,14.9,16.3,16.7,16.9,14.3,-16.2,34.7,960.9,82.7,62,57.8,2.4,34010
전라남도,76.3,45.5,37.6,41.4,33.7,16.4,17.3,19.3,18.5,19.8,19.8,-19.7,35.8,1207.3,93.4,73.7,54.5,2,30259
충청남도,73.6,9.1,17.3,24.9,32.6,13.2,15.5,15.2,15.1,15.1,15.2,-18.6,36.3,1084.4,70.9,72,54.7,1.9,33270
경기남부,72.1,2.4,20.9,23.4,26.4,13.4,14.3,13.9,14,13.8,14.5,-15.8,36,974,65.3,66.8,54.2,1.6,20806
경상북도,73.2,20.3,5.4,11,17.6,12.6,14.3,14.9,15.2,14.8,15.2,-20.7,34,1162.2,63.7,73.9,49.2,1.2,31885
충청북도,77,24.3,25.1,25.7,26.3,13,15,15.6,15.2,15.1,15.2,-16.5,36.3,1496.6,88.7,68.4,51.1,1.6,31791
전라북도,75.7,23,30.7,31.1,31.2,13.9,15.4,14.9,15.1,15,14.6,-22.4,35.7,1115.3,79.4,78.7,59.9,1.3,32482
강원북부,72.7,11.5,13.5,10.9,12.7,10.7,12.6,11.6,11.3,10.9,10.4,-21.9,36.6,1045.9,69.7,69.6,51.7,1.4,28295
강원남부,72.1,14.7,11.2,4.4,12.8,11.8,14,14.4,14.6,14.3,14.6,-11.9,35.1,1708.3,279.2,73.9,52.8,3,28295
