시설ID,시도,시군구,품목명,품종,재배면적,시설유형,재배형태,단동/연동 구분,수집일,외부온도,외부습도,외부 일사량,외부풍향,외부풍속,외부강우,강우감지,내부온도,내부습도,내부CO2,내부 일사량,토양EC,토양PH,지온,지습,(양액)총배액,(양액)총급액,(양액)배액PH,(양액)공급PH,(양액)배액EC,(양액)공급EC,(양액)지온,(양액)지습,배기팬작동여부,CO2발생장치작동여부,보광등작동여부,난방기작동상태,난방기작동여부,유동팬작동상태,유동팬작동여부,보온커튼작동상태,보온커튼작동여부,차광커튼작동상태,차광커튼작동여부,우측삼중측창 작동여부,좌측삼중측창 작동여부,우측이중측창 작동여부,좌측이중측창 작동여부,우측일중측창 개도,우측일중측창 온도폭,우측일중측창 설정온도,우측일중측창 작동여부,우측일중측창 작동상태,좌측일중측창 개도,좌측일중측창 온도폭,좌측일중측창 설정온도,좌측일중측창 작동여부,좌측일중측창 작동상태,측창,우측이중천창 작동여부,좌측이중천창 작동여부,우측일중천창 개도,우측일중천창 온도폭,우측일중천창 설정온도,우측일중천창 작동여부,우측일중천창 작동상태,좌측일중천창 개도,좌측일중천창 온도폭,좌측일중천창 설정온도,좌측일중천창 작동여부,좌측일중천창 작동상태,천창,조사일,주차,생장길이,화방높이,줄기직경,엽장,엽폭,엽수,개화군,착과군,열매수,최종화방차수
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 00:00:00,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 01:00:00,,,,,,,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 02:00:00,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 03:00:00,,,,,,,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 04:00:00,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 05:00:00,,,,,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 06:00:00,,,,,,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 07:00:00,,,,,,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 08:00:00,,,,,,,,,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF_0020701_01,전라남도,화순군,토마토,베타티니,"2,100",비닐,수경,단동,2021-01-28 09:00:00,,,,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
